sample,time_us,channel1_v
214,68.480000,3.308466308
215,68.800000,3.304755994
216,69.120000,3.308466308
217,69.440000,3.304755994
218,69.760000,3.308466308
219,70.080000,3.308466308
220,70.400000,3.308466308
221,70.720000,3.312176621
222,71.040000,3.308466308
223,71.360000,3.304755994
224,71.680000,3.308466308
225,72.000000,3.304755994
226,72.320000,3.308466308
227,72.640000,3.304755994
228,72.960000,3.308466308
229,73.280000,3.304755994
230,73.600000,3.308466308
231,73.920000,3.308466308
232,74.240000,3.308466308
233,74.560000,3.312176621
234,74.880000,3.308466308
235,75.200000,3.315886934
236,75.520000,3.308466308
237,75.840000,3.308466308
238,76.160000,3.304755994
239,76.480000,3.304755994
240,76.800000,3.308466308
241,77.120000,3.304755994
242,77.440000,3.304755994
243,77.760000,3.308466308
244,78.080000,3.308466308
245,78.400000,3.308466308
246,78.720000,3.304755994
247,79.040000,3.308466308
248,79.360000,3.304755994
249,79.680000,3.304755994
250,80.000000,3.297335368
251,80.320000,3.301045681
252,80.640000,3.301045681
253,80.960000,3.301045681
254,81.280000,3.301045681
255,81.600000,3.304755994
256,81.920000,3.301045681
257,82.240000,3.304755994
258,82.560000,3.304755994
259,82.880000,3.301045681
260,83.200000,3.301045681
261,83.520000,3.301045681
262,83.840000,3.301045681
263,84.160000,3.301045681
264,84.480000,3.304755994
265,84.800000,3.304755994
266,85.120000,3.304755994
267,85.440000,3.308466308
268,85.760000,3.308466308
269,86.080000,3.308466308
270,86.400000,3.308466308
271,86.720000,3.308466308
272,87.040000,3.308466308
273,87.360000,3.301045681
274,87.680000,3.304755994
275,88.000000,3.301045681
276,88.320000,3.301045681
277,88.640000,3.304755994
278,88.960000,3.304755994
279,89.280000,3.304755994
280,89.600000,3.308466308
281,89.920000,3.304755994
282,90.240000,3.304755994
283,90.560000,3.297335368
284,90.880000,3.297335368
285,91.200000,3.297335368
286,91.520000,3.301045681
287,91.840000,3.304755994
288,92.160000,3.304755994
289,92.480000,3.308466308
290,92.800000,3.308466308
291,93.120000,3.312176621
292,93.440000,3.304755994
293,93.760000,3.308466308
294,94.080000,3.312176621
295,94.400000,3.315886934
296,94.720000,3.312176621
297,95.040000,3.315886934
298,95.360000,3.312176621
299,95.680000,3.304755994
300,96.000000,3.304755994
301,96.320000,3.301045681
302,96.640000,3.297335368
303,96.960000,3.304755994
304,97.280000,3.301045681
305,97.600000,3.301045681
306,97.920000,3.304755994
307,98.240000,3.304755994
308,98.560000,3.304755994
309,98.880000,3.304755994
310,99.200000,3.304755994
311,99.520000,3.308466308
312,99.840000,3.308466308
313,100.160000,3.312176621
314,100.480000,3.312176621
315,100.800000,3.308466308
316,101.120000,3.308466308
317,101.440000,3.304755994
318,101.760000,3.301045681
319,102.080000,3.304755994
320,102.400000,3.301045681
321,102.720000,3.308466308
322,103.040000,3.308466308
323,103.360000,3.304755994
324,103.680000,3.304755994
325,104.000000,3.308466308
326,104.320000,3.304755994
327,104.640000,3.308466308
328,104.960000,3.308466308
329,105.280000,3.308466308
330,105.600000,3.304755994
331,105.920000,3.312176621
332,106.240000,3.308466308
333,106.560000,3.308466308
334,106.880000,3.308466308
335,107.200000,3.312176621
336,107.520000,3.308466308
337,107.840000,3.312176621
338,108.160000,3.312176621
339,108.480000,3.308466308
340,108.800000,3.308466308
341,109.120000,3.308466308
342,109.440000,3.304755994
343,109.760000,3.301045681
344,110.080000,3.301045681
345,110.400000,3.308466308
346,110.720000,3.312176621
347,111.040000,3.312176621
348,111.360000,3.319597247
349,111.680000,3.312176621
350,112.000000,3.308466308
351,112.320000,3.301045681
352,112.640000,3.308466308
353,112.960000,3.312176621
354,113.280000,3.308466308
355,113.600000,3.308466308
356,113.920000,3.308466308
357,114.240000,3.304755994
358,114.560000,3.304755994
359,114.880000,3.304755994
360,115.200000,3.308466308
361,115.520000,3.312176621
362,115.840000,3.308466308
363,116.160000,3.308466308
364,116.480000,3.308466308
365,116.800000,3.308466308
366,117.120000,3.304755994
367,117.440000,3.308466308
368,117.760000,3.304755994
369,118.080000,3.308466308
370,118.400000,3.308466308
371,118.720000,3.308466308
372,119.040000,3.308466308
373,119.360000,3.312176621
374,119.680000,3.304755994
375,120.000000,3.304755994
376,120.320000,3.304755994
377,120.640000,3.308466308
378,120.960000,3.312176621
379,121.280000,3.308466308
380,121.600000,3.312176621
381,121.920000,3.308466308
382,122.240000,3.308466308
383,122.560000,3.304755994
384,122.880000,3.308466308
385,123.200000,3.312176621
386,123.520000,3.308466308
387,123.840000,3.308466308
388,124.160000,3.308466308
389,124.480000,3.312176621
390,124.800000,3.308466308
391,125.120000,3.308466308
392,125.440000,3.304755994
393,125.760000,3.304755994
394,126.080000,3.301045681
395,126.400000,3.304755994
396,126.720000,3.308466308
397,127.040000,3.308466308
398,127.360000,3.308466308
399,127.680000,3.308466308
400,128.000000,3.308466308
401,128.320000,3.312176621
402,128.640000,3.308466308
403,128.960000,3.304755994
404,129.280000,3.308466308
405,129.600000,3.308466308
406,129.920000,3.312176621
407,130.240000,3.312176621
408,130.560000,3.308466308
409,130.880000,3.308466308
410,131.200000,3.312176621
411,131.520000,3.312176621
412,131.840000,3.312176621
413,132.160000,3.312176621
414,132.480000,3.308466308
415,132.800000,3.308466308
416,133.120000,3.312176621
417,133.440000,3.312176621
418,133.760000,3.312176621
419,134.080000,3.308466308
420,134.400000,3.308466308
421,134.720000,3.308466308
422,135.040000,3.308466308
423,135.360000,3.312176621
424,135.680000,3.312176621
425,136.000000,3.308466308
426,136.320000,3.308466308
427,136.640000,3.312176621
428,136.960000,3.308466308
429,137.280000,3.312176621
430,137.600000,3.312176621
431,137.920000,3.312176621
432,138.240000,3.312176621
433,138.560000,3.308466308
434,138.880000,3.308466308
435,139.200000,3.304755994
436,139.520000,3.304755994
437,139.840000,3.308466308
438,140.160000,3.312176621
439,140.480000,3.308466308
440,140.800000,3.308466308
441,141.120000,3.312176621
442,141.440000,3.312176621
443,141.760000,3.312176621
444,142.080000,3.312176621
445,142.400000,3.312176621
446,142.720000,3.308466308
447,143.040000,3.308466308
448,143.360000,3.308466308
449,143.680000,3.308466308
450,144.000000,3.312176621
451,144.320000,3.312176621
452,144.640000,3.312176621
453,144.960000,3.312176621
454,145.280000,3.308466308
455,145.600000,3.312176621
456,145.920000,3.312176621
457,146.240000,3.308466308
458,146.560000,3.312176621
459,146.880000,3.304755994
460,147.200000,3.301045681
461,147.520000,3.304755994
462,147.840000,3.304755994
463,148.160000,3.308466308
464,148.480000,3.308466308
465,148.800000,3.312176621
466,149.120000,3.308466308
467,149.440000,3.308466308
468,149.760000,3.308466308
469,150.080000,3.308466308
470,150.400000,3.308466308
471,150.720000,3.308466308
472,151.040000,3.304755994
473,151.360000,3.301045681
474,151.680000,3.308466308
475,152.000000,3.308466308
476,152.320000,3.308466308
477,152.640000,3.308466308
478,152.960000,3.304755994
479,153.280000,3.301045681
480,153.600000,3.304755994
481,153.920000,3.304755994
482,154.240000,3.304755994
483,154.560000,3.308466308
484,154.880000,3.304755994
485,155.200000,3.301045681
486,155.520000,3.304755994
487,155.840000,3.301045681
